F1,F2,F3,F4,F5,ID,X,Y,Class
-84.764696,31.192023,7.4,8.9,58.007,350,712992.095518,3453035.73671,0
-84.76469,31.192003,7.4,9.0,57.938,351,712992.761863,3453033.4321,0
-84.76468,31.191978,7.4,9.6,57.941,352,712993.674324,3453030.74426,0
-84.764672,31.191954,6.0,8.6,57.857,353,712994.529375,3453028.06636,0
-84.764661,31.19193,5.4,7.9,56.708,354,712995.679883,3453025.39443,0
-84.764652,31.191905,4.7,7.3,56.628,355,712996.516322,3453022.69397,0
-84.764644,31.191881,4.4,7.5,56.65,356,712997.400192,3453020.00556,0
-84.764635,31.191857,4.3,6.4,56.489,357,712998.235511,3453017.36053,0
-84.764628,31.191832,3.3,6.1,56.379,358,712999.0345,3453014.62604,0
-84.76462,31.191807,2.8,4.9,56.353,359,712999.823511,3453011.91352,0
-84.764612,31.191783,2.4,4.0,56.273,360,713000.668586,3453009.2576,1
